idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
925	57.0774	43.5913	50.1115	8.0	-0.09279836	-0.09292512	-0.00012676
926	54.3251	37.1612	48.5005	5.0	-0.10842908	-0.10838828	0.00004079
927	57.2345	34.4117	64.2651	5.0	-0.11726679	-0.11984314	-0.00257635
928	52.8302	23.0607	57.5146	8.0	-0.07838335	-0.07874109	-0.00035774
929	58.3302	34.2787	66.3744	7.0	-0.09641753	-0.09805542	-0.00163789
930	51.7953	33.1398	61.8913	6.0	-0.10568495	-0.10746921	-0.00178427
931	58.1479	30.7713	61.3064	3.0	-0.14537614	-0.15094939	-0.00557326
932	59.6587	39.7608	59.8964	3.0	-0.15852608	-0.15952426	-0.00099818
933	51.4897	37.2604	52.6107	5.0	-0.11547038	-0.11626543	-0.00079505
934	62.1790	31.2566	64.0632	6.0	-0.10936669	-0.11111675	-0.00175006
935	55.6262	35.0406	66.9110	8.0	-0.08837209	-0.08973333	-0.00136124
936	54.6370	24.5831	57.9182	6.0	-0.09235238	-0.09294743	-0.00059505
937	70.6407	29.8964	51.6423	8.0	-0.08871858	-0.08731750	0.00140108
938	57.5489	29.1109	51.7783	3.0	-0.16046896	-0.15729035	0.00317860
939	64.9871	42.3869	54.4814	7.0	-0.10229346	-0.10240498	-0.00011153
940	49.2153	40.4274	53.6171	8.0	-0.08782656	-0.08829408	-0.00046752
941	47.2058	33.2184	57.3012	7.0	-0.08385330	-0.08450603	-0.00065273
942	64.9181	41.8814	61.8935	8.0	-0.09186602	-0.09241032	-0.00054430
943	51.2754	27.6527	48.9004	7.0	-0.08342478	-0.08328221	0.00014257
944	59.6340	30.7397	46.2108	6.0	-0.10745275	-0.10544422	0.00200853
945	65.3131	39.2516	62.5643	7.0	-0.09897709	-0.09970039	-0.00072330
946	62.5956	35.2820	61.0932	3.0	-0.15246255	-0.15482807	-0.00236552
947	55.7759	29.9544	61.4690	4.0	-0.12268505	-0.12613933	-0.00345428
