global_idx	min_dist	q
12481	3.850	-0.0207
2564	4.178	+0.0323
6484	3.712	+0.0381
12540	3.573	-0.0231
8419	4.470	-0.0496
7769	4.327	-0.0327
8680	3.985	+0.0037
8030	4.027	-0.0154
3354	4.082	+0.0535
11827	4.389	+0.0170
11790	2.850	+0.0591
10025	4.014	+0.0300
6059	4.671	-0.0410
12462	3.878	-0.0045
3990	4.668	+0.0099
12441	3.240	+0.0170
10026	3.908	+0.0482
11326	3.744	+0.0200
11232	4.113	-0.0050
4054	4.404	+0.0160
2615	4.023	+0.0564
4681	4.952	-0.0085
11089	3.593	+0.0281
11809	4.297	+0.0369
9147	4.764	+0.0542
4633	4.291	-0.0427
10373	3.326	+0.0134
8561	5.179	+0.0350
2616	4.023	+0.0591
11956	3.851	-0.0105
7203	4.865	-0.0112
7910	5.211	+0.0188
9918	4.611	-0.0088
4576	4.130	+0.0210
2588	4.160	+0.0302
3379	3.802	+0.0667
3327	4.218	+0.0408
5395	4.986	-0.0282
3968	4.787	+0.0110
5928	3.746	-0.0163
11176	3.168	+0.0744
3939	4.488	-0.0571
5246	4.339	-0.0068
6683	4.787	-0.0395
8701	4.090	+0.0209
8049	4.050	+0.0032
11712	3.570	+0.0099
3380	3.967	+0.0661
4660	5.064	-0.0067
11329	3.392	+0.0848
12586	3.849	-0.0313
12500	3.949	-0.0301
8544	5.080	+0.0490
10554	4.677	+0.0068
5337	3.905	-0.0113
5227	4.094	+0.0125
7893	5.112	+0.0297
13055	3.585	-0.0435
2562	4.293	+0.0059
13116	3.655	-0.0402
2591	4.160	+0.0486
11847	4.448	-0.0011
6024	5.097	-0.0304
5834	3.365	+0.0597
12401	3.335	+0.0038
4012	4.653	+0.0079
9355	3.890	-0.0195
5318	4.391	-0.0073
11961	3.263	+0.0760
9071	4.237	-0.0551
9333	4.066	+0.0262
3184	4.574	-0.0812
13202	3.605	-0.0548
4701	4.937	-0.0107
10024	4.234	+0.0090
11864	3.434	+0.0207
13096	3.684	-0.0339
7235	3.771	+0.0534
7126	4.265	-0.0101
10655	4.308	-0.0183
2565	4.293	+0.0381
7388	4.187	-0.0247
3263	4.584	-0.0024
2538	4.422	-0.0013
8578	5.107	+0.0144
12518	3.935	-0.0114
7927	5.139	+0.0025
3886	3.927	-0.1124
3836	3.647	-0.0294
2614	4.143	+0.0469
8626	4.492	-0.0308
4797	3.836	+0.0186
7976	4.529	-0.0384
11194	3.091	+0.0579
2539	4.422	+0.0153
12591	3.259	+0.0348
12381	3.689	-0.0119
3837	3.828	+0.0043
4596	4.484	+0.0045
3378	3.762	+0.0564
11273	3.753	-0.0177
3236	4.705	-0.0265
9213	5.242	+0.0448
10027	3.926	+0.0570
9973	4.106	+0.0231
3159	4.280	-0.0857
4029	3.718	-0.0125
4526	3.183	-0.0056
7270	5.335	+0.0026
11929	4.216	-0.0235
12443	3.883	+0.0084
6736	4.392	-0.0377
13136	3.758	-0.0431
4096	4.123	+0.0344
9360	4.168	+0.0407
2617	4.143	+0.0548
4527	3.471	+0.0244
6628	3.647	+0.0117
3860	3.637	-0.1158
7407	3.911	-0.0066
4553	3.996	+0.0354
11906	3.814	-0.0131
11791	4.246	+0.0475
10417	3.880	-0.0026
9196	5.144	+0.0604
3381	4.183	+0.0563
10570	2.935	+0.0187
7254	5.239	+0.0100
3946	4.866	+0.0113
10396	3.386	+0.0494
9953	4.349	-0.0013
5875	4.417	-0.0186
6610	3.841	+0.0276
8460	4.817	-0.0258
3291	4.523	+0.0107
3191	4.454	+0.0315
8393	3.139	+0.0445
7809	4.851	-0.0362
4639	5.045	-0.0054
7744	2.887	+0.0548
11045	3.543	+0.0264
10662	3.704	+0.0742
6718	4.552	-0.0430
8394	3.430	+0.0283
8528	5.077	+0.0504
7745	3.202	+0.0440
7877	5.109	+0.0304
8440	4.840	-0.0495
9992	3.696	-0.0383
3164	4.215	+0.0285
7790	4.818	-0.0498
2537	4.532	-0.0180
6111	4.096	-0.0140
2642	4.125	+0.0604
10469	4.706	+0.0793
3835	3.517	-0.0625
13178	3.810	-0.0567
9230	5.170	+0.0229
3272	4.585	+0.0268
2643	4.125	+0.0610
11325	4.100	-0.0012
7287	5.265	-0.0085
9720	3.439	+0.0466
9278	4.564	-0.0199
