grid_idx	shell	dV	q
805	15.0	-0.000530	+1.0000
807	9.0	-0.001203	+1.0000
809	10.0	+0.000901	-1.0000
810	11.0	-0.000438	+1.0000
812	9.0	-0.000347	+1.0000
815	15.0	+0.000589	-1.0000
820	14.0	+0.000514	-1.0000
826	11.0	-0.000868	+1.0000
827	14.0	+0.000350	-1.0000
828	9.0	-0.000348	+1.0000
829	9.0	-0.000675	+1.0000
830	15.0	+0.000392	-1.0000
831	13.0	+0.000571	-1.0000
832	12.0	+0.000891	-1.0000
839	12.0	-0.000663	+1.0000
841	10.0	-0.000533	+1.0000
845	10.0	+0.000986	-1.0000
847	12.0	-0.000772	+1.0000
852	11.0	-0.000608	+1.0000
854	13.0	-0.000650	+1.0000
861	10.0	-0.000346	+1.0000
862	9.0	-0.000582	+1.0000
864	12.0	-0.000571	+1.0000
865	10.0	+0.001025	-1.0000
866	11.0	+0.000548	-1.0000
867	13.0	+0.000444	-1.0000
874	15.0	+0.000596	-1.0000
880	13.0	-0.000534	+1.0000
881	14.0	+0.000607	-1.0000
882	13.0	+0.000782	-1.0000
883	15.0	+0.000484	-1.0000
884	14.0	+0.000426	-1.0000
886	13.0	+0.000671	-1.0000
887	10.0	+0.000871	-1.0000
893	13.0	-0.000619	+1.0000
894	14.0	-0.000490	+1.0000
896	11.0	+0.000754	-1.0000
901	10.0	+0.001132	-1.0000
902	11.0	+0.000660	-1.0000
903	12.0	+0.000884	-1.0000
905	14.0	-0.000456	+1.0000
907	11.0	+0.000798	-1.0000
908	13.0	-0.000673	+1.0000
913	9.0	+0.000524	-1.0000
915	10.0	-0.000883	+1.0000
919	14.0	-0.000589	+1.0000
922	14.0	+0.000575	-1.0000
923	10.0	+0.001016	-1.0000
926	9.0	-0.000375	+1.0000
929	10.0	+0.001124	-1.0000
931	12.0	-0.000508	+1.0000
932	11.0	-0.000738	+1.0000
933	11.0	-0.000364	+1.0000
934	12.0	-0.000431	+1.0000
935	13.0	+0.000689	-1.0000
936	11.0	+0.000657	-1.0000
938	11.0	+0.000935	-1.0000
939	12.0	-0.000656	+1.0000
941	11.0	-0.000462	+1.0000
942	11.0	+0.000392	-1.0000
945	9.0	+0.000629	-1.0000
946	10.0	+0.000889	-1.0000
948	13.0	-0.000489	+1.0000
949	15.0	-0.000353	+1.0000
950	12.0	-0.000664	+1.0000
951	12.0	-0.000455	+1.0000
952	13.0	-0.000574	+1.0000
955	9.0	+0.001181	-1.0000
956	10.0	-0.000905	+1.0000
957	12.0	-0.000456	+1.0000
958	13.0	+0.000564	-1.0000
962	15.0	+0.000492	-1.0000
963	13.0	+0.000416	-1.0000
967	13.0	+0.000521	-1.0000
969	13.0	+0.000473	-1.0000
970	14.0	+0.000638	-1.0000
971	14.0	+0.000569	-1.0000
972	13.0	+0.000665	-1.0000
973	10.0	+0.001057	-1.0000
975	12.0	+0.000528	-1.0000
981	15.0	-0.000362	+1.0000
982	11.0	+0.001000	-1.0000
983	14.0	+0.000546	-1.0000
985	11.0	-0.000500	+1.0000
987	11.0	+0.000519	-1.0000
988	13.0	+0.000741	-1.0000
989	14.0	+0.000548	-1.0000
991	15.0	+0.000516	-1.0000
993	9.0	+0.000377	-1.0000
994	14.0	+0.000644	-1.0000
995	14.0	+0.000682	-1.0000
997	9.0	+0.000756	-1.0000
1000	10.0	+0.001185	-1.0000
1001	14.0	+0.000661	-1.0000
1003	12.0	-0.000720	+1.0000
1004	13.0	-0.000486	+1.0000
1007	9.0	-0.000634	+1.0000
1008	11.0	+0.000426	-1.0000
1010	11.0	+0.001007	-1.0000
1011	14.0	+0.000692	-1.0000
1012	11.0	-0.000375	+1.0000
1015	9.0	+0.000771	-1.0000
1016	12.0	-0.000754	+1.0000
1017	10.0	-0.000476	+1.0000
1018	12.0	+0.000870	-1.0000
1021	9.0	+0.000967	-1.0000
1024	14.0	+0.000563	-1.0000
1025	11.0	+0.000718	-1.0000
1026	10.0	+0.000906	-1.0000
1028	12.0	+0.000379	-1.0000
1029	9.0	+0.001264	-1.0000
1032	15.0	+0.000337	-1.0000
1033	14.0	-0.000379	+1.0000
1035	15.0	+0.000442	-1.0000
1036	12.0	+0.000458	-1.0000
1037	12.0	-0.000577	+1.0000
1038	11.0	-0.000602	+1.0000
1039	14.0	+0.000397	-1.0000
1040	15.0	+0.000590	-1.0000
1042	14.0	+0.000446	-1.0000
1047	14.0	+0.000541	-1.0000
1048	13.0	-0.000605	+1.0000
1049	13.0	+0.000709	-1.0000
1052	15.0	-0.000417	+1.0000
1053	12.0	-0.000628	+1.0000
1055	12.0	-0.000420	+1.0000
1056	10.0	-0.000353	+1.0000
1057	12.0	-0.000396	+1.0000
